nhgis0003_ds215_20155_2015_zcta,,
GISJOIN,NAME_E,ADNKE001
GIS Join Match Code,Estimates: Area Name,Estimates: Median household income in the past 12 months (in 2015 inflation-adjusted dollars)
G01566,1566,94167
G01568,1568,111222
G01569,1569,90313
G01570,1570,48057
G01571,1571,66339
G01581,1581,101467
G01583,1583,68648
G01585,1585,61029
G01588,1588,65926
G01590,1590,108547
G01602,1602,59770
G01603,1603,43329
G01604,1604,48212
G01605,1605,36429
G01606,1606,63646
G01607,1607,45170
G01608,1608,22789
G01609,1609,43729
G01610,1610,31019
G01611,1611,83802
G01612,1612,92500
G01701,1701,91430
G01702,1702,51985
G01718,1718,135982
G01719,1719,102699
G01720,1720,124836
G01721,1721,102911
G01730,1730,113729
G01731,1731,81667
G01740,1740,147446
G01741,1741,166111
G01742,1742,133880
G01745,1745,118125
G01746,1746,108869
G01747,1747,95268
G01748,1748,138551
G01749,1749,75985
G01752,1752,71790
G01754,1754,88333
G01756,1756,108942
G01757,1757,70162
G01760,1760,100922
G01770,1770,155956
G01772,1772,145179
G01773,1773,153438
G01775,1775,137551
G01776,1776,165745
G01778,1778,143616
G01801,1801,80266
G01803,1803,94518
G01810,1810,129082
G01821,1821,93307
G01824,1824,105010
G01826,1826,78133
G01827,1827,118523
G01830,1830,56074
G01832,1832,58850
G01833,1833,107683
G01834,1834,95208
G01835,1835,72568
G01840,1840,18291
G01841,1841,32928
G01843,1843,43301
G01844,1844,71392
G01845,1845,100286
G01850,1850,48979
G01851,1851,50108
G01852,1852,48420
G01854,1854,41640
G01860,1860,73986
G01862,1862,103219
G01863,1863,75687
G01864,1864,123103
G01867,1867,108282
G01876,1876,90477
G01879,1879,106290
G01880,1880,86210
G01886,1886,121591
G01887,1887,100862
G01890,1890,143017
G01901,1901,21605
G01902,1902,38045
G01904,1904,84932
G01905,1905,50903
G01906,1906,77371
G01907,1907,98475
G01908,1908,65284
G01913,1913,76558
G01915,1915,72837
G01921,1921,140268
G01922,1922,87412
G01923,1923,77949
G01929,1929,92396
G01930,1930,61505
G01937,1937,
G01938,1938,76458
G01940,1940,111911
G01944,1944,95243
G01945,1945,102993
G01949,1949,108622
G01950,1950,85556
G01951,1951,91304
G01952,1952,69500
G01960,1960,60469
G01966,1966,64839
G01969,1969,86820
G01970,1970,60583
G01982,1982,109500
G01983,1983,114565
G01984,1984,109250
G01985,1985,131167
G02019,2019,88460
G02021,2021,95045
G02025,2025,113843
G02026,2026,83438
G02030,2030,185542
G02032,2032,92500
G02035,2035,88766
G02038,2038,108272
G02043,2043,116187
G02045,2045,74391
G02047,2047,31302
G02048,2048,93019
G02050,2050,82986
G02052,2052,138036
G02053,2053,110241
G02054,2054,92042
G02056,2056,141278
G02061,2061,111628
G02062,2062,80532
G02066,2066,104337
G02067,2067,124217
G02071,2071,112708
G02072,2072,76179
G02081,2081,97753
G02090,2090,135884
G02093,2093,102659
G02108,2108,103973
G02109,2109,111313
G02110,2110,128210
G02111,2111,51480
G02113,2113,76503
G02114,2114,86240
G02115,2115,31737
G02116,2116,93059
G02118,2118,62300
G02119,2119,28885
G02120,2120,30487
G02121,2121,26150
G02122,2122,52122
G02124,2124,48350
G02125,2125,48123
G02126,2126,45958
G02127,2127,77633
G02128,2128,51097
G02129,2129,87381
G02130,2130,77480
G02131,2131,64178
G02132,2132,87983
G02134,2134,44000
G02135,2135,50752
G02136,2136,61391
G02138,2138,79540
G02139,2139,78649
G02140,2140,84163
G02141,2141,70828
G02142,2142,99934
G02143,2143,73117
G02144,2144,87169
G02145,2145,58665
G02148,2148,54883
G02149,2149,50718
G02150,2150,47811
G02151,2151,50865
G02152,2152,61919
G02155,2155,76596
G02163,2163,43229
G02169,2169,61619
G02170,2170,70248
G02171,2171,71743
G02176,2176,85521
G02180,2180,78099
G02184,2184,84776
G02186,2186,116444
G02188,2188,71620
G02189,2189,56706
G02190,2190,77843
G02191,2191,65413
G02199,2199,89861
G02203,2203,
G02210,2210,132969
G02215,2215,40269
G02301,2301,43093
G02302,2302,58750
G02322,2322,76065
G02324,2324,84697
G02330,2330,74375
G02332,2332,120267
G02333,2333,84118
G02338,2338,64013
G02339,2339,101823
G02341,2341,91384
G02343,2343,66370
G02346,2346,76500
G02347,2347,90876
G02351,2351,80148
G02356,2356,103556
G02357,2357,
G02359,2359,90790
G02360,2360,76835
G02364,2364,85384
G02366,2366,
G02367,2367,90648
G02368,2368,63681
G02370,2370,69247
G02375,2375,88090
G02379,2379,81119
G02382,2382,72490
G02420,2420,151607
G02421,2421,147335
G02445,2445,92622
G02446,2446,86910
G02451,2451,82532
G02452,2452,79274
G02453,2453,70597
G02457,2457,
G02458,2458,92300
G02459,2459,135426
G02460,2460,114750
G02461,2461,140733
G02462,2462,99167
G02464,2464,93292
G02465,2465,130032
G02466,2466,105678
G02467,2467,109399
G02468,2468,196250
G02472,2472,87409
G02474,2474,93904
G02476,2476,93011
G02478,2478,110685
G02481,2481,176920
G02482,2482,156094
G02492,2492,140734
G02493,2493,199519
G02494,2494,116375
G02532,2532,67647
G02534,2534,85762
G02535,2535,76125
G02536,2536,66484
G02537,2537,92639
G02538,2538,58542
G02539,2539,60714
G02540,2540,61618
G02542,2542,41938
G02543,2543,70313
G02553,2553,
G02554,2554,84479
G02556,2556,84800
G02557,2557,75242
G02558,2558,42542
G02559,2559,71271
G02561,2561,68281
G02562,2562,68816
G02563,2563,80554
G02564,2564,83056
G02568,2568,42180
G02571,2571,54221
G02575,2575,75000
G02576,2576,81875
G02584,2584,
G02601,2601,40210
G02630,2630,80714
G02631,2631,66362
G02632,2632,64278
G02633,2633,60268
G02635,2635,63678
G02637,2637,
G02638,2638,66353
G02639,2639,45357
G02641,2641,
G02642,2642,60524
G02643,2643,
G02644,2644,90912
G02645,2645,72556
G02646,2646,66434
G02647,2647,
G02648,2648,75238
G02649,2649,70313
G02650,2650,69211
G02651,2651,
G02652,2652,54848
G02653,2653,62313
G02655,2655,67778
G02657,2657,36958
G02659,2659,55560
G02660,2660,52088
G02663,2663,58125
G02664,2664,51607
G02666,2666,61327
G02667,2667,45045
G02668,2668,94331
G02669,2669,103750
G02670,2670,51154
G02671,2671,44042
G02672,2672,
G02673,2673,61979
G02675,2675,62328
G02702,2702,90066
G02703,2703,67736
G02713,2713,36250
G02715,2715,77292
G02717,2717,81061
G02718,2718,86343
G02719,2719,61274
G02720,2720,44397
G02721,2721,29684
G02723,2723,32275
G02724,2724,30688
G02725,2725,63194
G02726,2726,72585
G02738,2738,76503
G02739,2739,86659
G02740,2740,35887
G02743,2743,67263
G02744,2744,31709
G02745,2745,51328
G02746,2746,26705
G02747,2747,70919
G02748,2748,64625
G02760,2760,80957
G02762,2762,91009
G02763,2763,106875
G02764,2764,78870
G02766,2766,91438
G02767,2767,83125
G02769,2769,88868
G02770,2770,97157
G02771,2771,76826
G02777,2777,73310
G02779,2779,86288
G02780,2780,50653
G02790,2790,79697
G02791,2791,91029
G02802,2802,48495
G02804,2804,71439
G02806,2806,108776
G02807,2807,84750
G02808,2808,68958
G02809,2809,62493
G02812,2812,112901
G02813,2813,74826
G02814,2814,82896
G02815,2815,
G02816,2816,65521
G02817,2817,85942
G02818,2818,84409
G02822,2822,83465
G02825,2825,76408
G02826,2826,
G02827,2827,96071
G02828,2828,73214
G02830,2830,62904
G02831,2831,86696
G02832,2832,71042
G02833,2833,63229
G02835,2835,95175
G02836,2836,
G02837,2837,78370
G02838,2838,58226
G02839,2839,61023
G02840,2840,57275
G02841,2841,
G02842,2842,64397
G02852,2852,75746
G02857,2857,82772
G02858,2858,90583
G02859,2859,61204
G02860,2860,35953
G02861,2861,54700
G02863,2863,29108
G02864,2864,75362
G02865,2865,72301
G02871,2871,75303
G02872,2872,
G02873,2873,71296
G02874,2874,120139
G02875,2875,85096
G02876,2876,
G02878,2878,71901
G02879,2879,70076
G02881,2881,76010
G02882,2882,61827
G02885,2885,54886
G02886,2886,66598
G02888,2888,61582
G02889,2889,66618
G02891,2891,61375
G02892,2892,90905
G02893,2893,49622
G02894,2894,95945
G02895,2895,36420
G02896,2896,80677
G02898,2898,82145
G02903,2903,30292
G02904,2904,41233
G02905,2905,37692
G02906,2906,71927
G02907,2907,30877
G02908,2908,44536
G02909,2909,29667
G02910,2910,58163
G02911,2911,52997
G02912,2912,
G02914,2914,45295
G02915,2915,53750
G02916,2916,63717
G02917,2917,70258
G02919,2919,58634
G02920,2920,48672
G02921,2921,98666
G03031,3031,120476
G03032,3032,104231
G03033,3033,107833
G03034,3034,93962
G03036,3036,109286
G03037,3037,85798
G03038,3038,65328
G03042,3042,78125
G03043,3043,85729
G03044,3044,87292
G03045,3045,72821
G03046,3046,90083
G03047,3047,62273
G03048,3048,61008
G03049,3049,117708
G03051,3051,86030
G03052,3052,96583
G03053,3053,94487
G03054,3054,90708
G03055,3055,65512
G03057,3057,101420
G03060,3060,47235
G03062,3062,89271
G03063,3063,73514
G03064,3064,64185
G03070,3070,99028
G03071,3071,84461
G03076,3076,90077
G03077,3077,63929
G03079,3079,79755
G03082,3082,85000
G03084,3084,72143
G03086,3086,71352
G03087,3087,109726
G03101,3101,26580
G03102,3102,48904
G03103,3103,51206
G03104,3104,60782
G03106,3106,83836
G03109,3109,76603
G03110,3110,131490
G03215,3215,87500
G03216,3216,70565
G03217,3217,45938
G03218,3218,102826
G03220,3220,65383
G03221,3221,60551
G03222,3222,51357
G03223,3223,55789
G03224,3224,78182
G03225,3225,64938
G03226,3226,62768
G03227,3227,61250
G03229,3229,87083
G03230,3230,59048
G03231,3231,
G03233,3233,108646
G03234,3234,70329
G03235,3235,43368
G03237,3237,72115
G03238,3238,
G03240,3240,48750
G03241,3241,56181
G03242,3242,67197
G03243,3243,64028
G03244,3244,59621
G03245,3245,58158
G03246,3246,50000
G03249,3249,67643
G03251,3251,37095
G03253,3253,62583
G03254,3254,73162
G03255,3255,81136
G03256,3256,74353
G03257,3257,69038
G03258,3258,76333
G03259,3259,49145
G03260,3260,75167
G03261,3261,80522
G03262,3262,48594
G03263,3263,47959
G03264,3264,41648
G03266,3266,48438
G03268,3268,65859
G03269,3269,71125
G03273,3273,57500
G03275,3275,63947
G03276,3276,59657
G03278,3278,72065
G03279,3279,40481
G03280,3280,71667
G03281,3281,86552
G03282,3282,54583
G03284,3284,69583
G03285,3285,56058
G03287,3287,57639
G03290,3290,93409
G03291,3291,
G03293,3293,53250
G03301,3301,54750
G03303,3303,60435
G03304,3304,102847
G03307,3307,65417
G03431,3431,54142
G03440,3440,63750
G03441,3441,88990
G03442,3442,63958
G03443,3443,68880
G03444,3444,65104
G03445,3445,44688
G03446,3446,58048
G03447,3447,56875
G03448,3448,53125
G03449,3449,77788
G03450,3450,56313
G03451,3451,50417
G03452,3452,56618
G03455,3455,54630
G03456,3456,59615
G03457,3457,64375
G03458,3458,61221
G03461,3461,75490
G03462,3462,69469
G03464,3464,72750
G03465,3465,56445
G03466,3466,76477
G03467,3467,78158
G03470,3470,45700
G03561,3561,40491
G03570,3570,35523
G03574,3574,49329
G03575,3575,100179
G03576,3576,45350
G03579,3579,40313
G03580,3580,60272
G03581,3581,51696
G03582,3582,39205
G03583,3583,52337
G03584,3584,50099
G03585,3585,50202
G03586,3586,68750
G03588,3588,48704
G03590,3590,31635
G03592,3592,35147
G03593,3593,67917
G03595,3595,55347
G03597,3597,29028
G03598,3598,44688
G03601,3601,51563
G03602,3602,61964
G03603,3603,41723
G03604,3604,66202
G03605,3605,59423
G03607,3607,53929
G03608,3608,64727
G03609,3609,71196
G03740,3740,46339
G03741,3741,59719
G03743,3743,46054
G03745,3745,76667
G03746,3746,79063
G03748,3748,78619
G03750,3750,145893
G03751,3751,56293
G03752,3752,50167
G03753,3753,85880
G03754,3754,
G03755,3755,93639
G03765,3765,57708
G03766,3766,57147
G03768,3768,111607
G03770,3770,100500
G03771,3771,63625
G03773,3773,50403
G03774,3774,57404
G03777,3777,76771
G03779,3779,69219
G03780,3780,51500
G03781,3781,79044
G03782,3782,72019
G03784,3784,49071
G03785,3785,41027
G03801,3801,72024
G03809,3809,57500
G03810,3810,82750
G03811,3811,102018
G03812,3812,31544
G03813,3813,58784
G03814,3814,42614
G03816,3816,60125
G03817,3817,21042
G03818,3818,39772
G03819,3819,91250
G03820,3820,61022
G03823,3823,100078
G03824,3824,71190
G03825,3825,81174
G03826,3826,69183
G03827,3827,93362
G03830,3830,48339
G03832,3832,71000
G03833,3833,81712
G03835,3835,50821
G03836,3836,51750
G03837,3837,63333
G03838,3838,70321
G03839,3839,50589
G03840,3840,98625
G03841,3841,100347
G03842,3842,76745
G03844,3844,102794
G03845,3845,58007
G03846,3846,79191
G03847,3847,83145
G03848,3848,77115
G03849,3849,53480
G03850,3850,
G03851,3851,59594
G03852,3852,64821
G03853,3853,57262
G03854,3854,122692
G03855,3855,82000
G03856,3856,118333
G03857,3857,62421
G03858,3858,83945
G03860,3860,47125
G03861,3861,95000
G03862,3862,87413
G03864,3864,46618
G03865,3865,78191
G03867,3867,44950
G03868,3868,53288
G03869,3869,62130
G03870,3870,98750
G03871,3871,
G03872,3872,51923
G03873,3873,79226
G03874,3874,53587
G03875,3875,61287
G03878,3878,54868
G03882,3882,44141
G03883,3883,
G03884,3884,95707
G03885,3885,106400
G03886,3886,49142
G03887,3887,62625
G03890,3890,57153
G03894,3894,58134
G03901,3901,63544
G03902,3902,70429
G03903,3903,80914
G03904,3904,61934
G03905,3905,79063
G03906,3906,69663
G03907,3907,67426
G03908,3908,69375
G03909,3909,81231
G03910,3910,52656
G03911,3911,
G04001,4001,60685
G04002,4002,57543
G04003,4003,82961
G04005,4005,48104
G04006,4006,33839
G04008,4008,55064
G04009,4009,45093
G04010,4010,55000
G04011,4011,53737
